product name ,product images ,price ,pack,colours ,taille,stock ,description
baggy jean bleu blith,https://drive.google.com/drive/folders/10dqVeaww9A7YXjO2PgNtYzfCQusRsTfS?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,bleu blith,32 - 33 - 34 - 36 - 38,100,
baggy jean dorty,https://drive.google.com/drive/folders/1AWpwYq6jAhMZ4tOt2ACcovTHORvx9buH?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,dorty,32 - 33 - 34 - 36 - 38,100,
baggy jean double stone,https://drive.google.com/drive/folders/1YyojZZUAD_OIyvj1Ei0CLsktOkuMhFa9?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,double stone,32 - 33 - 34 - 36 - 38,100,
baggy jean gris snow,https://drive.google.com/drive/folders/16TXvjX3XDiDingPlFxYWU8GMB121XGtj?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,gris snow,32 - 33 - 34 - 36 - 38,100,
baggy jean noir,https://drive.google.com/drive/folders/1VcRVWzmaH_Bj-wfgohyhs59bw84HH307?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,noir,32 - 33 - 34 - 36 - 38,100,
baggy jean stone,https://drive.google.com/drive/folders/1qkr1fYicgp2iW-qIv1T4PvWyoOV3njJx?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,stone,32 - 33 - 34 - 36 - 38,100,
straight fit jean dorty,https://drive.google.com/drive/folders/1Hc5qnoyFRDGIwmYph1PyVdLCl2hzMBRj?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,dorty,31 - 32 - 33 - 34 - 36 - 38 - 40,100,
straight fit jean gris,https://drive.google.com/drive/folders/1xNIW5I5uKeGkxIu0eX-SeM1Kt3P7qKN8?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,gris,31 - 32 - 33 - 34 - 36 - 38 - 40,100,
straight fit jean gris liga,https://drive.google.com/drive/folders/1np1Bystn7p21lA2J6xpmPsXIIMGyLiww?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,gris liga,31 - 32 - 33 - 34 - 36 - 38 - 40,100,
straight fit jean gris noir,https://drive.google.com/drive/folders/1wEU2WmoFe7u9aDcA2yC3bnk8epIXdGkt?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,gris noir,31 - 32 - 33 - 34 - 36 - 38 - 40,100,
straight fit jean noir,https://drive.google.com/drive/folders/1Ocos-scijJBzv4h2PtSiE2QXsACm1z64?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,noir,31 - 32 - 33 - 34 - 36 - 38 - 40,100,
straight fit jean stone,https://drive.google.com/drive/folders/1HlZWCZ_YTlKwub6MejMXe8cW6gEFVF3z?usp=sharing,1 jean = 250 mad,2 jeans = 400 mad,stone,31 - 32 - 33 - 34 - 36 - 38 - 40,100,
